date,symbol,open,close,low, high, volume, dailyChangePercentage
2015-01-14T15:38:00-02:00[America/Sao_Paulo],BTC,154.29,185.91,111.12,196.58,0.77,9.9734
2015-01-14T16:38:00-02:00[America/Sao_Paulo],BTC,185.91,185.91,185.91,185.91,0.6,0.0
2015-01-14T17:38:00-02:00[America/Sao_Paulo],BTC,185.91,188.0,185.91,188.0,2.020433,1.1242
2015-01-14T18:38:00-02:00[America/Sao_Paulo],BTC,188.0,120.0,120.0,188.0,3.6146378,-36.1702
2015-01-14T19:38:00-02:00[America/Sao_Paulo],BTC,170.0,120.0,120.0,170.0,3.6,0.0
2015-01-14T20:38:00-02:00[America/Sao_Paulo],BTC,170.0,120.0,120.0,170.0,3.6,0.0
2015-01-14T21:38:00-02:00[America/Sao_Paulo],BTC,170.0,120.0,120.0,170.0,3.6,0.0
2015-01-14T22:38:00-02:00[America/Sao_Paulo],BTC,170.0,120.0,120.0,170.0,3.6,0.0
2015-01-14T23:38:00-02:00[America/Sao_Paulo],BTC,170.0,192.0,120.0,192.0,7.88000008,60.0
2015-01-15T00:38:00-02:00[America/Sao_Paulo],BTC,191.99,192.0,191.99,192.0,67.8000012,0.0
2015-01-15T01:38:00-02:00[America/Sao_Paulo],BTC,191.99,192.0,191.99,192.0,67.8000012,0.0
2015-01-15T02:38:00-02:00[America/Sao_Paulo],BTC,191.99,150.0,150.0,192.0,34.5971006,-21.875
2015-01-15T03:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T04:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T05:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T06:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T07:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T08:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T09:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T10:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T11:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T12:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T13:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T14:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T15:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T16:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T17:38:00-02:00[America/Sao_Paulo],BTC,150.0,150.0,150.0,150.0,1.572,0.0
2015-01-15T18:38:00-02:00[America/Sao_Paulo],BTC,150.0,224.0,150.0,224.0,5.0450185,49.3333
2015-01-15T19:38:00-02:00[America/Sao_Paulo],BTC,199.0,224.0,199.0,224.0,9.9072444,0.0
2015-01-15T20:38:00-02:00[America/Sao_Paulo],BTC,199.0,204.32,199.0,224.0,7.64531256,-8.7857
