date,symbol,open,close,low, high, volume 
2019-08-21,BTC,10759.9,10068.3,9853.2,10800.0,8487.0
2019-08-20,BTC,10921.8,10759.9,10560.1,10959.0,3831.07
2019-08-19,BTC,10326.4,10921.8,10267.5,10950.0,5197.22
2019-08-18,BTC,10211.8,10326.4,10065.0,10502.4,2908.8
2019-08-17,BTC,10362.1,10211.8,9999.9,10475.0,3766.12
2019-08-16,BTC,10304.5,10362.1,9728.0,10535.0,8443.93
2019-08-15,BTC,10018.0,10304.5,9490.0,10450.0,11725.64
2019-08-14,BTC,10857.0,10018.0,9900.0,10862.0,9346.67
2019-08-13,BTC,11384.2,10857.0,10751.0,11442.6,5531.49
2019-08-12,BTC,11526.7,11384.2,11235.0,11550.2,2523.03
2019-08-11,BTC,11284.7,11526.7,11101.9,11581.0,3242.59
2019-08-10,BTC,11857.6,11284.7,11230.2,11975.0,5075.98
2019-08-09,BTC,11982.6,11857.6,11660.0,12042.0,4972.73
2019-08-08,BTC,11962.7,11982.6,11472.6,12065.0,5503.29
2019-08-07,BTC,11458.8,11962.7,11387.0,12173.8,9518.05
2019-08-06,BTC,11799.6,11458.8,11200.0,12340.0,10984.94
2019-08-05,BTC,10972.4,11799.6,10972.4,11940.0,8456.19
2019-08-04,BTC,10809.9,10972.4,10539.9,11078.7,4989.41
2019-08-03,BTC,10531.5,10809.9,10507.0,10928.0,3959.82
2019-08-02,BTC,10408.9,10531.5,10327.9,10665.4,5203.72
2019-08-01,BTC,10090.1,10408.9,9882.4,10530.0,6557.89
2019-07-31,BTC,9594.1,10090.1,9575.0,10135.8,6067.91
2019-07-30,BTC,9499.9,9594.1,9381.3,9766.1,3996.76
2019-07-29,BTC,9531.7,9499.9,9375.0,9709.7,4104.98
2019-07-28,BTC,9471.8,9531.7,9120.0,9630.0,3862.39
2019-07-27,BTC,9852.0,9471.8,9269.1,10204.6,6349.64
2019-07-26,BTC,9878.0,9852.0,9625.2,9911.3,4323.5
2019-07-25,BTC,9769.8,9878.0,9734.6,10187.4,5606.96
2019-07-24,BTC,9840.6,9769.8,9500.1,9919.6,8280.49
2019-07-23,BTC,10323.9,9840.6,9800.0,10328.9,7956.27
2019-07-22,BTC,10595.3,10323.9,10071.0,10685.1,6592.63
2019-07-21,BTC,10774.9,10595.3,10188.0,10842.2,5461.73
2019-07-20,BTC,10535.2,10774.9,10379.5,11210.0,6940.81
2019-07-19,BTC,10636.6,10535.2,10122.0,10775.0,7418.4
2019-07-18,BTC,9703.9,9801.1,9560.0,9801.1,181.27
2019-07-17,BTC,9420.3,9703.9,9099.0,9979.4,13077.32
2019-07-16,BTC,10840.4,9420.3,9365.0,11038.1,14551.17
2019-07-15,BTC,10621.1,10840.4,9789.0,11078.3,9896.69
2019-07-14,BTC,11381.5,10621.1,10275.1,11461.1,7555.08
2019-07-13,BTC,11798.1,11381.5,10800.1,11844.5,7154.02
2019-07-12,BTC,11343.5,11798.1,11091.3,11930.2,7208.34
2019-07-11,BTC,12096.2,11343.5,10957.0,12096.2,13431.4
2019-07-10,BTC,12570.5,12096.2,11555.0,13197.8,12780.74
2019-07-09,BTC,12298.0,12570.5,12127.0,12826.5,8815.26
2019-07-08,BTC,11480.7,12298.0,11323.7,12404.6,7497.86
2019-07-07,BTC,11233.5,11480.7,11000.0,11631.2,4621.31
2019-07-06,BTC,11006.0,11233.5,10945.6,11728.5,5362.04
2019-07-05,BTC,11148.3,11006.0,10736.0,11482.9,8055.48
2019-07-04,BTC,11979.8,11148.3,10601.0,12064.4,7857.36
2019-07-03,BTC,10837.3,11979.8,10807.3,12037.0,16125.6
2019-07-02,BTC,10575.9,10837.3,9666.0,10947.3,15317.96
2019-07-01,BTC,10752.3,10575.9,9900.0,11239.0,14634.01
2019-06-30,BTC,11865.1,10752.3,10650.0,12200.0,10959.69
2019-06-29,BTC,12360.0,11865.1,11172.6,12436.2,10990.7
2019-06-28,BTC,11148.0,12360.0,10723.3,12450.0,13815.66
2019-06-27,BTC,12933.7,11148.0,10300.0,13360.9,25036.07
2019-06-26,BTC,11765.1,12933.7,11540.1,13875.7,25638.47
2019-06-25,BTC,11020.6,11765.1,11007.5,11800.0,11623.93
2019-06-24,BTC,10814.1,11020.6,10511.0,11102.6,5459.41
2019-06-23,BTC,10663.8,10814.1,10474.0,11286.8,5943.73
2019-06-22,BTC,10219.2,10663.8,10000.0,11216.8,12844.98
2019-06-21,BTC,9534.3,10219.2,9533.2,10250.0,9099.71
2019-06-20,BTC,9277.1,9534.3,9213.2,9600.0,6475.27
2019-06-19,BTC,9080.5,9277.1,9040.0,9323.3,4409.19
2019-06-18,BTC,9335.0,9080.5,8943.0,9355.0,6320.84
2019-06-17,BTC,8976.1,9335.0,8971.9,9470.0,8437.29
2019-06-16,BTC,8856.8,8976.1,8456.0,9390.0,12551.79
2019-06-15,BTC,8694.0,8856.8,8620.3,8912.0,5294.14
2019-06-14,BTC,8237.6,8694.0,8175.0,8740.0,7258.26
2019-06-13,BTC,8171.0,8237.6,8005.0,8344.9,5762.39
2019-06-12,BTC,7921.4,8171.0,7823.1,8286.8,8082.77
2019-06-11,BTC,8019.9,7921.4,7715.0,8052.0,6846.84
2019-06-10,BTC,7642.1,8019.9,7525.0,8076.7,7215.61
