date,symbol,open,close,low, high, volume
2015-02-02,BTC,228.0,236.95,220.89,242.0,9847.147731809995
2015-02-03,BTC,237.03,229.46,225.32,243.84,9334.396892480032
2015-02-04,BTC,229.41,228.66,221.5,230.99,9745.822567590025
2015-02-05,BTC,228.5,219.87,215.0,228.9,8706.653803720006
2015-02-06,BTC,219.64,224.85,216.03,226.64,5663.817470180006
2015-02-07,BTC,224.84,228.02,223.35,230.31,4811.47875652
2015-02-08,BTC,227.17,224.0,220.0,231.12,5067.80040437001
2015-02-09,BTC,223.69,221.51,216.45,225.0,6806.252154280014
2015-02-10,BTC,221.43,223.08,215.0,223.1,7905.114625360014
2015-02-11,BTC,223.08,220.0,217.46,223.61,8980.244394119993
2015-02-12,BTC,219.71,222.8,218.0,224.61,7925.981156000025
2015-02-13,BTC,222.36,238.9,221.55,242.12,15801.795392580008
2015-02-14,BTC,238.75,260.09,237.16,261.51,15997.637956120023
2015-02-15,BTC,259.71,230.0,228.0,267.5,16804.413319189993
2015-02-16,BTC,229.88,235.57,229.69,241.0,10561.309362720012
2015-02-17,BTC,235.32,244.44,234.55,247.43,18533.920711390027
2015-02-18,BTC,244.07,236.97,231.93,246.0,11653.893182940008
2015-02-19,BTC,236.95,241.77,235.58,245.0,9599.753394000007
2015-02-20,BTC,241.53,245.5,239.99,248.24,11286.560732399992
2015-02-21,BTC,245.46,246.97,244.0,248.12,6934.834586580006
2015-02-22,BTC,246.97,238.42,234.01,247.48,8511.896759580008
2015-02-23,BTC,238.4,240.97,232.0,240.97,10636.827529249998
2015-02-24,BTC,240.77,240.05,235.51,241.15,8718.945739649997
2015-02-25,BTC,239.85,237.35,235.1,240.21,8352.439787989997
2015-02-26,BTC,237.1,237.47,234.33,238.16,8745.257778830022
2015-02-27,BTC,237.47,252.08,237.32,258.97,21464.43551853001
2015-02-28,BTC,251.88,254.44,250.0,256.29,7007.282261240016
2015-03-01,BTC,254.44,259.5,244.88,261.69,11611.111558250002
2015-03-02,BTC,259.3,275.4,256.6,279.34,19866.79650351002
2015-03-03,BTC,275.4,284.05,267.07,289.0,18079.936904960017
2015-03-04,BTC,283.8,272.31,267.39,284.97,14030.349572930007
2015-03-05,BTC,272.3,277.56,262.49,281.0,12288.311202310026
2015-03-06,BTC,277.62,272.07,269.12,278.47,9500.406537869987
2015-03-07,BTC,272.0,277.14,270.55,279.36,6461.932301590008
2015-03-08,BTC,277.1,276.18,270.29,278.91,5559.650593070007
2015-03-09,BTC,276.18,297.48,275.31,298.27,15712.75840091002
2015-03-10,BTC,297.41,293.54,290.51,299.47,15603.823320100017
2015-03-11,BTC,293.01,294.44,291.2,297.8,9381.592410570009
2015-03-12,BTC,294.43,294.13,291.87,298.62,9409.595601900013
2015-03-13,BTC,294.3,284.75,280.86,295.5,12940.661185619996
2015-03-14,BTC,284.69,285.3,282.18,288.91,6462.143294460007
2015-03-15,BTC,285.28,293.7,284.0,294.16,5553.357560619991
2015-03-16,BTC,293.51,291.99,290.03,294.98,8762.002674750009
2015-03-17,BTC,292.01,284.71,283.51,293.69,8177.276496870007
2015-03-18,BTC,284.59,253.48,249.2,286.0,20800.852518760028
2015-03-19,BTC,253.38,267.1,252.5,267.0,14439.645899500003
2015-03-20,BTC,266.75,261.98,259.31,267.11,7622.530393109995
2015-03-21,BTC,261.66,261.15,256.66,263.36,6301.989757110019
2015-03-22,BTC,261.05,270.0,259.71,271.3,6538.605643580011
2015-03-23,BTC,269.87,267.33,260.81,272.21,13864.326285100016
2015-03-24,BTC,267.29,248.51,244.8,268.0,18483.720068210016
2015-03-25,BTC,248.33,247.11,234.51,249.98,11558.010368920013
2015-03-26,BTC,247.01,247.17,244.92,254.9,11923.731486069992
2015-03-27,BTC,247.1,249.65,246.58,250.4,8094.652687110012
2015-03-28,BTC,249.64,248.07,247.83,254.99,6636.79784505002
2015-03-29,BTC,248.05,245.69,237.94,249.67,10163.037443520006
2015-03-30,BTC,245.63,249.7,242.0,250.0,10071.237065410016
2015-03-31,BTC,249.69,246.52,242.87,249.8,8439.838915230008
2015-04-01,BTC,246.47,248.06,241.07,249.55,10268.885467980004
2015-04-02,BTC,248.01,254.2,245.8,255.24,8856.104311420007
2015-04-03,BTC,254.22,255.84,252.59,257.12,7364.520092510004
2015-04-04,BTC,255.76,252.9,251.26,255.81,5035.1387537699975
2015-04-05,BTC,252.88,262.99,252.06,263.0,5958.130697349994
2015-04-06,BTC,262.62,256.17,254.01,262.9,8244.780082659994
2015-04-07,BTC,256.1,254.84,253.45,258.11,7786.444230720009
2015-04-08,BTC,254.5,246.74,244.29,255.59,7962.625200850002
2015-04-09,BTC,246.3,243.06,239.02,246.9,7738.694512299996
2015-04-10,BTC,242.84,238.99,232.35,243.42,11857.971565989987
2015-04-11,BTC,238.99,238.29,234.77,239.86,6674.680082160013
2015-04-12,BTC,238.27,237.48,234.02,238.55,4643.727334329995
2015-04-13,BTC,237.48,225.37,220.77,238.0,13134.863678910004
2015-04-14,BTC,225.37,223.5,216.92,226.0,12943.628314189995
2015-04-15,BTC,223.1,227.96,218.09,227.96,8883.940862319992
2015-04-16,BTC,227.8,228.85,225.87,230.75,8385.581497270003
2015-04-17,BTC,228.76,223.71,220.46,229.67,7569.169337730001
2015-04-18,BTC,223.66,224.04,222.18,224.04,4346.170103170008
2015-04-19,BTC,224.04,224.32,223.44,226.72,5649.726038680003
2015-04-20,BTC,224.36,225.89,223.47,227.37,8470.77867498001
2015-04-21,BTC,225.89,236.0,224.01,236.0,10098.972402700007
2015-04-22,BTC,236.0,234.22,233.05,238.6,7047.705200370006
2015-04-23,BTC,234.21,233.22,232.11,236.92,7408.900012720008
2015-04-24,BTC,233.22,232.35,230.12,234.78,6757.824622269996
2015-04-25,BTC,232.32,220.96,220.0,231.96,6122.383512050001
2015-04-26,BTC,220.95,221.1,215.56,222.65,9190.29369557001
2015-04-27,BTC,221.08,228.43,218.78,231.11,12038.535913689997
2015-04-28,BTC,228.46,225.59,220.46,229.04,7012.916961310005
2015-04-29,BTC,225.57,225.44,220.2,227.05,7369.1556278100015
2015-04-30,BTC,225.4,237.86,225.17,239.88,12272.110574879993
2015-05-01,BTC,237.71,233.96,233.0,238.78,10715.466194820021
2015-05-02,BTC,233.95,236.75,233.51,237.0,5829.403523349998
2015-05-03,BTC,236.73,240.33,235.78,242.96,6895.801610839997
2015-05-04,BTC,240.23,239.99,238.06,243.9,9001.038568219994
2015-05-05,BTC,239.97,235.49,232.0,239.99,10023.753409130002
2015-05-06,BTC,235.54,230.3,228.38,236.34,8658.124724930009
2015-05-07,BTC,230.3,237.07,228.67,239.0,8684.049042859999
2015-05-08,BTC,236.89,245.17,236.35,246.98,9014.964876930015
2015-05-09,BTC,245.15,242.64,240.0,247.6,6216.049487840003
2015-05-10,BTC,242.4,242.33,239.63,244.87,4609.417314780004
